card_id,display_name_ko,category,max_rank,draw_weight,is_stat,description_ko,e1_key,e1_op,e1_val,e1_unit,e2_key,e2_op,e2_val,e2_unit,e3_key,e3_op,e3_val,e3_unit
mobility,기동력,stat,5,100,True,,max_pitch_rate_multiplier,add_per_rank,0.08,ratio,max_roll_rate_multiplier,add_per_rank,0.08,ratio,max_yaw_rate_multiplier,add_per_rank,0.08,ratio
stability,안정성,stat,5,100,True,,stability_multiplier,add_per_rank,0.15,ratio,,,,,,,,
speed,속도,stat,5,100,True,,cruise_speed,add_per_rank,20,kts,max_speed,add_per_rank,40,kts,acceleration,add_per_rank,8,kts_per_sec
defense,방어력,stat,5,100,True,,max_health,add_per_rank,20,hp,,,,,,,,
power,화력,stat,5,100,True,,damage_multiplier,add_per_rank,0.1,ratio,,,,,,,,
control,관제력,stat,5,100,True,,lock_range_multiplier,add_per_rank,0.1,ratio,missile_turn_multiplier,add_per_rank,0.08,ratio,,,,
standardRack,표준 미사일 랙 확장,equipment,3,100,False,,standard_ready_slots,add_per_rank,4,count,,,,,,,,
multiRack,멀티 미사일 랙 확장,equipment,3,100,False,,multi_ready_slots,add_per_rank,2,count,,,,,,,,
reload,신속 재장전,equipment,5,100,False,,missile_reload_multiplier,subtract_per_rank,0.1,ratio,,,,,,,,
warhead,고출력 탄두,equipment,3,100,False,,damage_multiplier,multiply_add_per_rank,0.1,ratio,,,,,,,,
guidance,능동 유도 제어,equipment,3,100,False,,missile_turn_multiplier,add_per_rank,0.15,ratio,,,,,,,,
repair,긴급 정비,fallback,,0,False,,health_restore,instant_ratio,0.3,max_health,score,instant_add,500,points,,,,
multiSalvo,멀티 관제 확장,equipment,2,100,False,,multi_lock_count,add_per_rank,2,count; max=8,,,,,,,,
smartAim,스마트 에임 확장,equipment,3,100,False,,smart_assist_multiplier,add_per_rank,0.2,ratio,,,,,,,,
