current_level,xp_to_next,cumulative_xp_at_start,notes
1,300,0,
2,413,#VALUE!,
3,525,300,
4,638,#VALUE!,
5,750,825,
6,863,#VALUE!,
7,975,1575,
8,1088,#VALUE!,
9,1200,2550,
10,1313,#VALUE!,
11,1425,3750,
12,1538,#VALUE!,
13,1650,5175,
14,1763,#VALUE!,
15,1875,6825,
16,1988,#VALUE!,
17,2100,8700,
18,2213,#VALUE!,
19,2325,10800,
20,2438,#VALUE!,
21,2550,13125,
22,2663,#VALUE!,
23,2775,15675,
24,2888,#VALUE!,
25,3000,18450,
26,3113,#VALUE!,
27,3225,21450,
28,3338,#VALUE!,
29,3450,24675,
30,3563,#VALUE!,
31,3675,28125,
32,3788,#VALUE!,
33,3900,31800,
34,4013,#VALUE!,
35,4125,35700,
36,4238,#VALUE!,
37,4350,39825,
38,4463,#VALUE!,
39,4575,44175,
40,4688,#VALUE!,
41,4800,48750,
42,4913,#VALUE!,
43,5025,53550,
44,5138,#VALUE!,
45,5250,58575,
46,5363,#VALUE!,
47,5475,63825,
48,5588,#VALUE!,
49,5700,69300,
50,5813,#VALUE!,
51,5925,75000,
52,6038,#VALUE!,
53,6150,80925,
54,6263,#VALUE!,
55,6375,87075,
56,6488,#VALUE!,
57,6600,93450,
58,6713,#VALUE!,
59,6825,100050,
60,6938,#VALUE!,
